method,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,stringLiteralsQty,numbersQty,assignmentsQty,maxNestedBlocksQty,uniqueWordsQty,testSmellName
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirst_singleRoot,877,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,21,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_tree,645,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,16,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrderIterable_cyclicGraphContainingTree,972,4,1,4,6,0,1,4,1,1,0,0,0,6,0,1,0,32,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirst_twoTrees,864,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,18,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_iterableIsLazy,341,5,1,6,8,0,2,6,1,1,0,0,0,2,2,2,0,44,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_iterableIsLazy,341,5,1,6,8,0,2,6,1,1,0,0,0,2,2,2,0,44,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirstIterable_javadocExample_canBeIteratedMultipleTimes,180,4,1,4,5,0,1,4,1,1,0,0,0,3,0,1,0,30,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrderIterable_iterableIsLazy,1191,6,1,7,8,0,2,7,1,1,0,0,0,3,2,2,0,25,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrderIterable_iterableIsLazy,1191,6,1,7,8,0,2,7,1,1,0,0,0,3,2,2,0,25,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrderIterable_diamond,400,4,1,4,8,0,1,4,1,1,0,0,0,10,0,1,0,26,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_twoCycles,250,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,25,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrderIterable_singleRoot,685,4,1,4,4,0,1,4,1,1,0,0,0,2,0,1,0,26,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirstIterable_cycle,241,4,1,4,7,0,1,4,1,1,0,0,0,8,0,1,0,23,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_singleRoot,299,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,21,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrder_emptyGraph,1158,3,2,4,8,0,0,4,1,2,0,0,1,1,0,0,1,15,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrderIterable_cyclicGraphContainingTree,1102,4,1,4,6,0,1,4,1,1,0,0,0,6,0,1,0,32,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_cycle,232,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrderIterable_javadocExample_canBeIteratedMultipleTimes,564,4,1,4,5,0,1,4,1,1,0,0,0,3,0,1,0,32,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_iterableIsLazy,531,5,1,6,8,0,2,6,1,1,0,0,0,2,2,2,0,29,Eager Test
