Method,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,CLASS
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/RemoteConfigRepositoryTest.java.testLoadConfigWithAccessKeySecret,8,1,14,26,0,6,0,14,1,1,0,0,0,0,3,1,7,0,0,1,0,0,41,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/RemoteConfigRepositoryTest.java.testRepositoryChangeListener,9,1,18,17,0,7,0,18,1,1,0,0,0,0,4,2,7,0,0,0,0,0,22,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/RemoteConfigRepositoryTest.java.testAssembleQueryConfigUrl,6,1,12,22,0,13,0,12,0,0,0,0,0,0,9,2,13,2,0,0,0,0,34,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/JsonConfigFileTest.java.testWhenConfigRepositoryHasErrorAndThenRecovered,5,1,14,17,0,4,0,14,0,0,0,0,0,0,2,0,5,0,0,0,0,0,26,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/JsonConfigFileTest.java.testWhenConfigRepositoryHasError,5,1,9,7,0,1,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/JsonConfigFileTest.java.testWhenHasContent,5,1,12,15,0,4,0,12,0,0,0,0,0,0,1,0,5,0,0,0,0,0,19,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/JsonConfigFileTest.java.testWhenHasNoContent,4,1,7,6,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/JsonConfigFileTest.java.testOnRepositoryChange,6,1,9,20,0,7,0,9,0,0,0,0,0,0,2,0,8,0,0,0,0,0,19,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testWhenHasContent,5,1,10,12,0,4,0,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,17,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testOnRepositoryChangeWithContentDeleted,8,1,14,25,0,8,0,14,0,0,0,0,0,0,1,1,8,0,0,1,0,0,25,1,0,AR
